Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
NOP,NOP @ POR,2014-04-06,L,240,94,38,90,0.422,4,12,0.333,14,18,0.778,13,25,38,21,10,4,10,19,-6
POR,POR vs. NOP,2014-04-06,W,240,100,41,87,0.471,5,22,0.227,13,15,0.867,14,36,50,20,5,6,15,17,6
NYK,NYK @ MIA,2014-04-06,L,240,91,33,88,0.375,15,42,0.357,10,13,0.769,15,23,38,18,10,2,11,24,-11
MIA,MIA vs. NYK,2014-04-06,W,240,102,34,61,0.557,12,27,0.444,22,30,0.733,7,28,35,22,6,0,16,17,11
HOU,HOU vs. DEN,2014-04-06,W,265,130,45,98,0.459,13,36,0.361,27,40,0.675,15,35,50,24,15,10,15,19,5
DEN,DEN @ HOU,2014-04-06,L,265,125,51,107,0.477,14,31,0.452,9,13,0.692,15,39,54,28,8,8,21,24,-5
PHX,PHX vs. OKC,2014-04-06,W,240,122,45,77,0.584,11,23,0.478,21,31,0.677,5,31,36,17,6,2,12,24,7
OKC,OKC @ PHX,2014-04-06,L,240,115,40,84,0.476,9,32,0.281,26,32,0.813,7,31,38,17,6,4,12,30,-7
SAS,SAS vs. MEM,2014-04-06,W,240,112,43,77,0.558,9,22,0.409,17,18,0.944,6,34,40,27,7,3,16,16,20
MEM,MEM @ SAS,2014-04-06,L,240,92,38,86,0.442,5,14,0.357,11,17,0.647,13,24,37,22,8,3,15,19,-20
GSW,GSW vs. UTA,2014-04-06,W,240,130,52,90,0.578,17,33,0.515,9,9,1.000,6,39,45,34,9,2,16,23,28
UTA,UTA @ GSW,2014-04-06,L,240,102,39,86,0.453,4,13,0.308,20,28,0.714,8,29,37,27,13,1,12,13,-28
CHI,CHI @ WAS,2014-04-05,W,240,96,35,79,0.443,9,23,0.391,17,21,0.810,11,34,45,24,7,4,11,14,18
WAS,WAS vs. CHI,2014-04-05,L,240,78,34,86,0.395,3,16,0.188,7,12,0.583,14,26,40,16,6,4,12,19,-18
MIL,MIL vs. TOR,2014-04-05,L,240,98,38,79,0.481,1,9,0.111,21,27,0.778,12,25,37,28,5,5,10,21,-4
TOR,TOR @ MIL,2014-04-05,W,240,102,36,81,0.444,12,27,0.444,18,22,0.818,12,27,39,20,5,2,10,22,4
MIN,MIN @ ORL,2014-04-05,L,240,92,36,77,0.468,1,14,0.071,19,28,0.679,8,22,30,26,11,6,13,10,-8
ORL,ORL vs. MIN,2014-04-05,W,240,100,43,79,0.544,9,17,0.529,5,9,0.556,13,27,40,29,7,4,23,23,8
BOS,BOS @ DET,2014-04-05,L,240,111,42,88,0.477,14,31,0.452,13,16,0.813,15,22,37,25,8,3,12,24,-4
DET,DET vs. BOS,2014-04-05,W,240,115,38,79,0.481,9,23,0.391,30,36,0.833,13,30,43,18,6,1,13,16,4
CHA,CHA @ CLE,2014-04-05,W,265,96,34,91,0.374,9,26,0.346,19,27,0.704,12,46,58,23,7,5,12,19,2
CLE,CLE vs. CHA,2014-04-05,L,265,94,35,96,0.365,7,22,0.318,17,21,0.810,10,41,51,22,5,3,11,18,-2
BKN,BKN @ PHI,2014-04-05,W,240,105,41,80,0.513,6,21,0.286,17,23,0.739,8,33,41,29,6,3,14,20,4
PHI,PHI vs. BKN,2014-04-05,L,240,101,36,79,0.456,10,23,0.435,19,27,0.704,9,31,40,27,6,2,13,26,-4
ORL,ORL @ CHA,2014-04-04,L,240,80,31,87,0.356,3,11,0.273,15,18,0.833,14,29,43,15,8,10,13,25,-11
CHA,CHA vs. ORL,2014-04-04,W,240,91,33,78,0.423,6,16,0.375,19,23,0.826,9,37,46,20,5,7,15,15,11
TOR,TOR vs. IND,2014-04-04,W,240,102,40,84,0.476,10,22,0.455,12,16,0.750,9,33,42,23,6,5,11,20,8
IND,IND @ TOR,2014-04-04,L,240,94,33,78,0.423,6,11,0.545,22,28,0.786,8,31,39,19,6,3,10,19,-8
DEN,DEN @ MEM,2014-04-04,L,240,92,29,80,0.363,7,23,0.304,27,32,0.844,14,32,46,16,7,4,20,27,-8
MEM,MEM vs. DEN,2014-04-04,W,240,100,32,83,0.386,2,11,0.182,34,38,0.895,10,28,38,18,9,4,12,26,8
UTA,UTA vs. NOP,2014-04-04,W,240,100,33,64,0.516,4,11,0.364,30,35,0.857,6,28,34,22,8,6,17,24,4
NOP,NOP @ UTA,2014-04-04,L,240,96,34,73,0.466,8,19,0.421,20,29,0.690,9,27,36,19,6,9,17,27,-4
ATL,ATL vs. CLE,2014-04-04,W,240,117,48,82,0.585,13,29,0.448,8,10,0.800,2,36,38,35,1,3,17,17,19
CLE,CLE @ ATL,2014-04-04,L,240,98,36,91,0.396,5,21,0.238,21,25,0.840,10,24,34,16,13,3,6,18,-19
PHX,PHX @ POR,2014-04-04,W,240,109,39,97,0.402,6,21,0.286,25,31,0.806,23,36,59,17,7,4,12,20,16
POR,POR vs. PHX,2014-04-04,L,240,93,35,81,0.432,6,21,0.286,17,27,0.630,13,35,48,20,5,8,16,23,-16
MIA,MIA vs. MIN,2014-04-04,L,290,121,43,99,0.434,11,36,0.306,24,30,0.800,15,37,52,20,11,6,17,27,-1
MIN,MIN @ MIA,2014-04-04,W,290,122,43,93,0.462,12,32,0.375,24,34,0.706,10,36,46,27,10,5,18,22,1
HOU,HOU vs. OKC,2014-04-04,W,240,111,33,78,0.423,13,31,0.419,32,37,0.865,9,36,45,21,8,2,12,21,4
OKC,OKC @ HOU,2014-04-04,L,240,107,38,85,0.447,13,31,0.419,18,20,0.900,10,35,45,24,5,8,14,24,-4
DET,DET @ BKN,2014-04-04,L,240,104,41,88,0.466,9,27,0.333,13,21,0.619,19,27,46,23,6,2,10,14,-12
