Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
OKC,2016-04-12,L,Away,SAS102-98OKC,0.402,35,87,0.240,6,25,0.880,22,25,55,18,37,18,7,5,21,23,98
SAS,2016-04-12,W,Home,OKC98-102SAS,0.425,37,87,0.286,4,14,0.750,24,32,42,11,31,15,12,8,11,22,102
MEM,2016-04-12,L,Away,LAC110-84MEM,0.407,35,86,0.250,5,20,0.643,9,14,38,13,25,16,5,1,16,18,84
HOU,2016-04-13,W,Home,SAC81-116HOU,0.485,47,97,0.286,10,35,0.632,12,19,55,14,41,33,11,7,14,15,116
DEN,2016-04-13,L,Away,POR107-99DEN,0.426,40,94,0.280,7,25,0.667,12,18,53,20,33,24,10,6,20,19,99
POR,2016-04-13,W,Home,DEN99-107POR,0.438,39,89,0.306,11,36,0.818,18,22,45,13,32,19,11,8,17,19,107
DAL,2016-04-13,L,Home,SAS96-91DAL,0.403,31,77,0.308,12,39,0.810,17,21,41,11,30,20,8,2,12,23,91
SAS,2016-04-13,W,Away,DAL91-96SAS,0.473,35,74,0.261,6,23,0.769,20,26,42,8,34,24,8,3,15,19,96
MIN,2016-04-13,W,Home,NOP109-144MIN,0.651,56,86,0.464,13,28,0.826,19,23,43,5,38,41,14,8,13,20,144
IND,2016-04-13,W,Away,MIL92-97IND,0.433,39,90,0.458,11,24,0.800,8,10,48,12,36,28,8,3,17,14,97
NOP,2016-04-13,L,Away,MIN144-109NOP,0.435,40,92,0.367,11,30,0.818,18,22,33,10,23,31,7,0,16,16,109
ORL,2016-04-13,L,Away,CHA117-103ORL,0.462,42,91,0.296,8,27,0.611,11,18,39,5,34,22,7,4,10,18,103
