Team_A,Date_A,W/L_A,Home/Away_A,Score_A,FG%_A,FGM_A,FGA_A,3P%_A,3PM_A,3PA_A,FT%_A,FTM_A,FTA_A,REB_A,OREB_A,DREB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,Opponent_A,Team_B,Date_B,W/L_B,Home/Away_B,Score_B,FG%_B,FGM_B,FGA_B,3P%_B,3PM_B,3PA_B,FT%_B,FTM_B,FTA_B,REB_B,OREB_B,DREB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PTS_B,Opponent_B
GSW,2018-04-14,1,1,SAS92-113GSW,0.543,44,81,0.455,10,22,0.682,15,22,51,10,41,32,6,6,15,18,113,SAS,SAS,2018-04-14,0,0,GSW113-92SAS,0.400,32,80,0.409,9,22,0.792,19,24,30,3,27,19,9,4,13,20,92,GSW
SAS,2018-04-14,0,0,GSW113-92SAS,0.400,32,80,0.409,9,22,0.792,19,24,30,3,27,19,9,4,13,20,92,GSW,GSW,2018-04-14,1,1,SAS92-113GSW,0.543,44,81,0.455,10,22,0.682,15,22,51,10,41,32,6,6,15,18,113,SAS
PHI,2018-04-14,1,1,MIA103-130PHI,0.474,45,95,0.643,18,28,0.759,22,29,50,17,33,34,9,4,11,23,130,MIA,MIA,2018-04-14,0,0,PHI130-103MIA,0.455,35,77,0.462,12,26,0.677,21,31,41,9,32,25,4,6,18,25,103,PHI
NOP,2018-04-14,1,0,POR95-97NOP,0.477,41,86,0.333,8,24,0.700,7,10,49,7,42,26,8,12,15,17,97,POR,POR,2018-04-14,0,1,NOP97-95POR,0.378,37,98,0.308,12,39,0.750,9,12,52,15,37,17,10,6,12,15,95,NOP
TOR,2018-04-14,1,1,WAS106-114TOR,0.532,41,77,0.533,16,30,0.800,16,20,38,5,33,26,6,7,17,18,114,WAS,WAS,2018-04-14,0,0,TOR114-106WAS,0.477,41,86,0.381,8,21,0.889,16,18,35,6,29,29,11,3,14,21,106,TOR
WAS,2018-04-14,0,0,TOR114-106WAS,0.477,41,86,0.381,8,21,0.889,16,18,35,6,29,29,11,3,14,21,106,TOR,TOR,2018-04-14,1,1,WAS106-114TOR,0.532,41,77,0.533,16,30,0.800,16,20,38,5,33,26,6,7,17,18,114,WAS
POR,2018-04-14,0,1,NOP97-95POR,0.378,37,98,0.308,12,39,0.750,9,12,52,15,37,17,10,6,12,15,95,NOP,NOP,2018-04-14,1,0,POR95-97NOP,0.477,41,86,0.333,8,24,0.700,7,10,49,7,42,26,8,12,15,17,97,POR
MIL,2018-04-15,0,0,BOS113-107MIL,0.482,40,83,0.381,8,21,0.792,19,24,42,5,37,22,8,8,20,31,107,BOS,BOS,2018-04-15,1,1,MIL107-113BOS,0.415,39,94,0.423,11,26,0.889,24,27,45,11,34,20,8,5,15,21,113,MIL
BOS,2018-04-15,1,1,MIL107-113BOS,0.415,39,94,0.423,11,26,0.889,24,27,45,11,34,20,8,5,15,21,113,MIL,MIL,2018-04-15,0,0,BOS113-107MIL,0.482,40,83,0.381,8,21,0.792,19,24,42,5,37,22,8,8,20,31,107,BOS
IND,2018-04-15,1,0,CLE80-98IND,0.456,36,79,0.393,11,28,0.600,15,25,44,8,36,19,12,4,11,21,98,CLE,CLE,2018-04-15,0,1,IND98-80CLE,0.385,30,78,0.235,8,34,0.600,12,20,46,9,37,21,7,4,17,23,80,IND
